n_urls,n_used_permissions,n_api_calls,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getExternalStorageDirectory,n_activities,suspicious_getDeviceId,n_permissions,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,suspicious_getSubscriberId,n_receivers,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_providers,n_services,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_SET_WALLPAPER,perm_com_android_vending_BILLING,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_READ_EXTERNAL_STORAGE,perm_android_permission_CAMERA,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_VIBRATE,suspicious_system_bin_su,perm_android_permission_WRITE_SETTINGS,perm_com_sec_android_permission_VOIP_INTERFACE,intent_com_qihoo_appstore_clean_scan_finish,perm_android_permission_MANAGE_ACCOUNTS,intent_action_send_pop,intent_android_fbreader_action_CLOSE,label
34,7,19,0,1,9,1,9,0,0,0,7,0,2,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
27,8,28,0,1,5,1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
36,9,30,1,1,13,1,10,1,1,0,2,0,0,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
23,11,21,1,1,10,1,7,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,13,32,1,1,20,1,19,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0
52,7,16,0,1,42,1,10,1,1,0,4,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
34,10,28,0,1,6,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,12,20,1,1,4,0,5,0,0,0,4,0,2,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10,7,20,1,1,12,1,6,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,7,0,1,4,1,12,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,8,26,0,1,23,1,9,0,0,0,4,1,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
32,3,8,0,1,3,1,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,14,32,0,1,26,1,12,1,1,1,3,1,0,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10,6,20,0,1,5,1,6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,5,15,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,20,0,1,9,1,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,9,18,1,1,47,1,17,1,1,0,3,1,2,5,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1
24,11,21,1,1,7,1,8,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,8,18,0,1,16,1,3,1,1,0,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
109,8,22,1,1,53,1,8,1,1,0,7,1,5,18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
132,9,17,1,1,55,1,30,1,1,0,10,1,5,11,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
14,13,35,0,1,11,1,5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,21,1,1,17,1,8,1,1,0,3,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,9,17,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6,11,1,1,5,1,11,0,0,0,3,1,1,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5,7,15,0,1,2,1,5,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,9,20,1,1,9,1,16,1,1,0,9,0,1,13,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
60,14,33,1,1,33,1,24,1,1,0,11,1,1,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
48,7,12,1,1,39,1,32,1,1,0,11,1,7,17,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1
10,3,5,0,0,3,1,8,1,1,0,3,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25,11,20,1,1,6,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,13,23,1,1,20,1,27,1,1,0,8,0,7,14,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
1,1,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,15,0,1,8,0,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,7,17,1,1,19,1,12,1,1,0,5,1,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
18,10,22,1,1,10,0,7,1,1,0,3,0,1,5,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
201,15,33,1,1,39,1,62,1,1,0,27,1,10,74,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
11,8,19,0,1,4,1,14,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
37,8,19,0,1,3,1,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
40,11,41,1,1,13,1,7,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,5,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
21,7,18,1,1,5,1,10,0,0,0,4,0,1,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
16,9,21,1,1,4,0,28,1,1,0,7,1,2,12,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
69,8,21,1,1,8,1,6,0,0,0,5,0,1,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17,10,24,1,1,25,1,7,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
167,16,79,0,1,99,1,49,1,1,0,21,1,13,43,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1
1,7,16,0,1,1,0,13,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,5,13,0,1,5,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,7,17,1,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7,24,1,1,6,0,8,0,0,0,4,0,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
67,9,21,1,1,23,1,10,0,0,0,5,0,1,10,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
80,12,21,1,1,32,0,28,1,1,0,7,1,0,10,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
10,6,18,0,1,3,1,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,11,0,1,5,1,18,1,1,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,8,17,0,1,3,1,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
51,9,17,1,1,186,1,16,1,1,0,5,1,5,14,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
107,8,21,1,1,13,1,11,0,0,0,3,1,1,9,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
13,5,15,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,23,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,13,43,0,1,18,1,31,1,1,1,6,1,0,6,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
28,11,30,0,1,7,1,34,1,1,0,0,1,1,2,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
23,10,20,1,1,6,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,9,19,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,4,4,0,1,6,1,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8,18,1,1,4,1,6,0,0,0,5,0,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
41,5,6,1,1,14,1,22,0,0,0,8,0,3,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
66,14,33,1,1,14,1,18,0,0,0,8,0,5,9,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
43,9,25,0,1,12,1,9,1,1,0,4,1,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
25,8,16,1,1,5,1,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8,19,1,1,8,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7,18,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,155,0,34,1,1,0,7,1,0,9,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
36,10,16,1,1,4,1,8,0,0,0,3,0,4,5,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
10,7,18,1,1,4,1,17,0,0,0,4,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
32,9,20,1,1,5,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,16,0,7,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,12,43,0,1,29,1,15,1,1,0,10,1,2,14,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
5,11,22,0,1,41,1,21,1,1,1,0,1,2,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
2,8,17,0,1,1,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,11,28,1,1,6,1,6,1,1,0,7,0,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
26,9,25,1,1,5,1,6,1,1,0,4,0,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
14,5,6,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,8,20,1,1,19,1,25,1,1,0,6,1,0,4,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
28,10,19,1,1,6,1,5,0,0,0,3,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
91,10,24,1,1,35,1,17,1,1,0,9,1,3,8,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0
21,4,5,1,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,7,0,42,0,0,0,6,1,0,12,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
77,10,30,1,1,27,1,17,0,0,0,10,1,1,10,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
16,6,21,0,1,3,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,21,0,1,7,1,10,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
18,4,9,0,1,7,0,10,1,1,0,4,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
60,12,45,0,1,72,1,21,0,0,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
4,7,32,1,1,5,0,23,0,0,0,2,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
33,8,22,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,11,1,1,14,0,10,0,0,0,4,1,2,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
67,12,23,1,1,17,1,14,1,1,0,11,0,7,14,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
15,6,18,0,1,4,0,7,0,0,0,3,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,7,19,1,1,3,0,25,0,0,0,6,0,1,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,5,12,0,1,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,10,25,1,1,23,1,3,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202,21,69,1,1,421,1,125,1,1,1,19,1,17,57,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0
78,17,80,1,1,1,1,25,1,1,1,2,1,0,22,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1,2,5,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,17,1,1,20,1,10,0,0,0,6,1,1,7,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
64,9,35,1,1,35,1,12,0,0,0,1,1,0,3,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
57,4,9,1,1,17,0,6,1,1,0,2,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,11,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,9,21,0,1,134,1,13,1,1,0,8,1,2,14,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,9,23,0,1,10,1,7,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,13,31,1,1,6,1,7,1,1,0,3,1,2,4,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
1,7,21,0,1,2,1,5,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,8,17,0,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,0,1,1,0,5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,12,0,1,6,0,5,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
45,8,19,1,1,33,1,8,1,1,0,11,1,2,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,10,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,8,19,1,1,79,1,12,0,0,0,15,1,5,17,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
23,7,16,1,1,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,10,0,1,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,12,31,1,1,23,1,12,1,1,0,7,1,5,4,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
151,9,20,1,1,38,1,21,1,1,0,5,1,1,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
35,8,22,0,1,9,1,3,1,1,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6,14,1,1,9,1,5,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,12,35,0,1,21,1,19,1,1,1,7,1,2,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0
8,4,5,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,14,42,1,1,101,1,37,1,1,1,9,1,2,14,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
53,6,15,1,1,18,1,5,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
14,18,58,1,1,6,1,15,1,1,0,8,1,0,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
27,5,12,0,1,6,1,4,0,0,0,2,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21,5,8,1,1,1,1,8,0,0,0,4,1,2,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
5,4,9,0,1,2,0,6,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,13,30,1,1,43,1,33,1,1,0,14,1,8,13,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0
12,10,30,0,1,3,1,13,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,6,17,1,1,3,1,7,0,0,0,5,0,1,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
27,9,21,1,1,10,1,4,1,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12,7,21,1,1,8,1,26,0,0,0,5,0,3,7,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
51,8,13,1,1,32,1,92,1,1,0,6,1,1,18,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,1,0,18,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
34,8,20,0,1,7,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,11,21,1,1,3,1,7,0,0,0,3,1,3,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
17,7,19,0,1,8,0,6,0,0,0,1,1,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,12,31,1,1,17,1,6,1,0,0,3,0,3,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
71,8,20,1,1,12,1,11,0,0,0,6,1,1,10,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1
15,8,21,0,0,8,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,11,27,1,1,21,1,23,1,1,0,8,1,1,36,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1
32,11,22,1,1,16,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,6,17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,10,32,0,1,5,1,17,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,11,26,1,1,11,1,27,0,0,0,5,1,1,9,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
95,15,50,0,1,41,1,12,1,1,0,4,1,2,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,11,23,0,1,20,1,9,1,1,0,6,1,0,5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
42,10,28,1,1,10,1,10,0,0,0,5,0,1,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
37,11,25,1,1,5,1,8,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,9,19,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,18,0,1,6,0,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,8,25,1,1,5,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,11,23,1,1,17,1,8,0,0,0,3,0,3,6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
59,13,41,1,1,14,1,15,1,1,0,4,1,3,7,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
24,12,21,1,1,23,1,7,1,1,0,4,1,3,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
22,6,13,1,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12,37,0,1,3,1,15,0,0,0,5,1,0,6,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
21,9,22,1,1,10,1,6,1,1,1,4,1,1,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
43,14,37,0,1,2,1,4,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,22,0,1,5,1,18,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2,2,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,10,13,1,1,8,1,10,0,0,0,4,0,4,10,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
20,7,16,1,1,6,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,5,14,0,1,46,1,11,1,1,0,6,1,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,8,25,1,1,5,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,6,1,1,6,0,6,0,0,0,4,0,1,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
141,16,63,0,1,316,1,31,1,1,1,9,1,9,26,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0
29,7,18,1,1,12,1,8,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,5,17,0,1,2,0,10,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
67,10,25,1,1,51,1,18,0,0,0,13,1,1,9,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
12,9,18,1,1,82,1,9,0,0,0,1,1,1,5,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
84,15,43,1,1,36,1,16,1,1,0,10,1,2,14,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
4,4,5,0,0,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,19,58,1,1,64,1,32,1,1,1,24,1,2,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,16,51,0,1,77,1,23,0,0,1,4,1,0,7,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
31,8,20,1,1,11,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,5,12,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9,19,1,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,5,12,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,8,0,1,3,1,6,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,10,21,1,1,28,1,10,0,0,0,4,1,3,4,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
80,9,20,1,1,29,1,11,1,1,0,5,1,3,12,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
40,13,31,1,1,5,1,17,1,1,0,8,1,4,10,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
61,10,19,1,1,31,1,11,0,0,0,5,1,2,5,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
207,14,37,1,1,106,1,28,1,1,1,11,1,8,20,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
37,11,30,0,1,6,1,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,15,0,64,1,0,0,3,1,0,5,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
114,15,28,1,1,42,1,17,1,1,0,10,0,5,11,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
34,13,64,0,1,7,1,16,1,1,0,6,1,2,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,9,17,1,1,5,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
