suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_getCellLocation,suspicious_Ljava_lang_Runtime___exec,intent_android_intent_action_PACKAGE_ADDED,n_permissions,suspicious_Ldalvik_system_PathClassLoader_,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_ACCESS_WIFI_STATE,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_REPLACED,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_co_ronash_pushe_CHECK_TASKS,intent_co_ronash_pushe_ACTION_TASK_READY,suspicious_sendTextMessage,perm_android_permission_SEND_SMS,intent_android_intent_action_USER_PRESENT,perm_com_android_browser_permission_WRITE_HISTORY_BOOKMARKS,n_providers,suspicious_Base64,intent_com_google_android_gms_gcm_ACTION_TASK_READY,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,intent_aspire_iap_SMS_SEND_ACTIOIN,n_services,perm_android_permission_KILL_BACKGROUND_PROCESSES,label
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
1,1,1,1,0,1,1,0,19,0,1,0,1,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,7,0,0
0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,0,1
0,1,1,0,0,0,0,0,35,0,1,0,1,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,5,0,0
0,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,1
0,1,0,0,0,0,1,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,7,0,0
0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0
1,1,1,1,1,1,1,0,38,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,10,0,0
0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0
0,1,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,7,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,0,15,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0
0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,9,0,0
1,0,1,1,0,1,1,1,16,0,1,0,1,1,0,0,1,0,0,0,0,1,0,3,1,0,0,0,5,0,1
0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0
0,1,1,1,1,0,0,0,12,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0
0,0,0,0,0,0,1,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,14,0,0
1,1,1,0,0,0,1,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,0,0
0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,13,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,0,1
0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,9,0,0
0,1,1,1,1,0,1,1,22,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9,1,0
0,1,0,0,0,0,0,0,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,4,0,0
0,1,1,1,1,0,0,0,43,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,16,0,1
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0,21,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,12,0,0
0,0,0,1,0,1,0,0,17,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,7,0,0
0,1,0,0,0,0,1,0,32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,22,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,1,1,1,0,22,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,3,0,0
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
0,1,0,0,0,0,0,0,24,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,10,0,0
0,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0
0,1,0,0,0,0,1,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,8,0,0
0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,11,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0
0,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1
1,1,1,1,1,1,1,0,12,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,1,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,7,0,0
0,1,0,0,0,0,0,0,14,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0
0,0,0,0,0,0,0,0,11,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,0,0
0,1,1,0,0,0,1,0,27,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,19,0,0
1,1,1,1,0,1,1,1,22,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,5,0,0
0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
1,1,1,0,0,1,1,1,26,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,3,0,0
0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,0,0,1,1,27,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,5,0,0
0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,1,1,1,0,27,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,4,0,0
1,1,1,1,0,1,1,0,25,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,1,1,1,1,0,1,0,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,18,0,0
0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,0,1,34,0,1,1,1,0,1,0,1,0,0,0,0,1,0,7,0,0,0,0,26,1,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,30,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0
0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,1
0,1,0,0,1,0,0,0,14,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,1,0,0,1,0,9,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0
0,1,0,0,0,0,1,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,5,0,0
0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
1,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,1,1,1,31,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,5,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,1,1,1,0,0,1,0,44,1,0,0,1,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,12,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,8,0,0
1,1,1,1,1,0,0,1,19,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0
0,0,0,0,0,0,1,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,12,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,16,1,0,0,1,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,10,0,1
0,1,1,0,0,1,1,1,25,1,0,0,1,0,0,1,1,0,0,0,0,0,0,6,1,1,0,0,30,0,0
0,1,1,1,0,0,1,1,33,1,1,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,10,0,0
0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,0,0
0,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
0,1,0,0,0,0,1,0,26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0
0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,1,1,1,29,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,9,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,1,1,1,0,1,1,0,30,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,5,0,0
0,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,17,0,0
0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,0,0
0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,1,1,1,16,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,6,0,0
0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,8,0,0
0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,1,0,17,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,1,0,1,1,1,33,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,16,0,0
0,0,1,1,0,0,1,0,14,1,1,0,1,0,0,1,1,0,0,0,0,1,0,3,1,0,0,0,11,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0
0,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,6,0,0
0,1,0,1,0,0,1,0,31,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,6,0,0
0,0,0,0,0,0,1,0,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0
0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0
0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,6,0,0
0,0,0,0,0,0,1,0,26,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0
0,1,1,1,0,0,1,1,28,0,1,0,1,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,6,0,0
0,1,1,1,0,0,1,0,11,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0
0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0
0,1,1,1,1,0,0,0,42,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,16,0,0
0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,0,0
0,0,0,0,0,1,1,0,31,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,22,0,0
0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,1,0,1,0,0,0,0,14,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,9,0,1
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,7,0,1
0,0,0,0,0,0,1,0,26,1,0,0,1,0,0,0,1,0,0,0,0,0,0,10,1,1,0,0,17,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,1,1,0,19,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0
0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,8,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,40,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,15,0,0
1,1,1,1,0,1,1,1,36,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,6,0,0
0,0,0,0,0,0,1,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,0,0
1,1,1,0,1,1,1,0,37,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0
0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,3,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0
0,1,1,1,1,0,0,1,10,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0
0,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,7,0,0
0,0,0,0,0,0,1,0,14,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,7,0,0
0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,10,0,0
